Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS09_5yr_C17002001,ACS09_5yr_C17002002,ACS09_5yr_C17002003,ACS09_5yr_C17002004,ACS09_5yr_C17002005,ACS09_5yr_C17002006,ACS09_5yr_C17002007,ACS09_5yr_C17002008,ACS09_5yr_C17002001s,ACS09_5yr_C17002002s,ACS09_5yr_C17002003s,ACS09_5yr_C17002004s,ACS09_5yr_C17002005s,ACS09_5yr_C17002006s,ACS09_5yr_C17002007s,ACS09_5yr_C17002008s
"06075060100","14000US06075060100","Census Tract 601, San Francisco County, California","Census Tract 601, San Francisco County, California","ca","140","00","ACSSF","0018956",,,,,"06","075",,,,"060100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,145,90,26,45,109,36,2154,280,66.6666666666666,51.5151515151515,19.3939393939393,27.8787878787878,90.3030303030303,24.2424242424242,251.515151515151
"06075060200","14000US06075060200","Census Tract 602, San Francisco County, California","Census Tract 602, San Francisco County, California","ca","140","00","ACSSF","0018957",,,,,"06","075",,,,"060200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,19,0,41,0,0,0,252,124.242424242424,16.9696969696969,80,41.2121212121212,80,80,80,90.9090909090909
"06075060300","14000US06075060300","Census Tract 603, San Francisco County, California","Census Tract 603, San Francisco County, California","ca","140","00","ACSSF","0018958",,,,,"06","075",,,,"060300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,0,0,0,50,17.5757575757575,80,80,80,80,80,80,17.5757575757575
"06075060400","14000US06075060400","Census Tract 604, San Francisco County, California","Census Tract 604, San Francisco County, California","ca","140","00","ACSSF","0018959",,,,,"06","075",,,,"060400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2753,256,84,37,60,22,25,2269,179.393939393939,76.9696969696969,40,20.6060606060606,35.7575757575757,12.7272727272727,14.5454545454545,188.484848484848
"06075060501","14000US06075060501","Census Tract 605.01, San Francisco County, California","Census Tract 605.01, San Francisco County, California","ca","140","00","ACSSF","0018960",,,,,"06","075",,,,"060501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,34,6,20,340,53,0,187,239.393939393939,32.1212121212121,5.45454545454545,18.7878787878787,205.454545454545,50.3030303030303,80,104.848484848484
"06075060502","14000US06075060502","Census Tract 605.02, San Francisco County, California","Census Tract 605.02, San Francisco County, California","ca","140","00","ACSSF","0018961",,,,,"06","075",,,,"060502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2933,519,556,303,284,201,4,1066,285.454545454545,204.242424242424,218.787878787878,101.212121212121,98.1818181818182,96.3636363636364,4.24242424242424,269.090909090909
"06075060600","14000US06075060600","Census Tract 606, San Francisco County, California","Census Tract 606, San Francisco County, California","ca","140","00","ACSSF","0018962",,,,,"06","075",,,,"060600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,8,9,129,0,0,0,123,118.181818181818,7.87878787878788,7.87878787878788,122.424242424242,80,80,80,47.2727272727272
"06075060700","14000US06075060700","Census Tract 607, San Francisco County, California","Census Tract 607, San Francisco County, California","ca","140","00","ACSSF","0018963",,,,,"06","075",,,,"060700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4475,201,202,50,165,467,275,3115,268.484848484848,58.1818181818182,84.2424242424242,27.2727272727272,73.9393939393939,175.151515151515,162.424242424242,257.575757575757
"06075060900","14000US06075060900","Census Tract 609, San Francisco County, California","Census Tract 609, San Francisco County, California","ca","140","00","ACSSF","0018964",,,,,"06","075",,,,"060900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,15,0,0,0,0,0,391,103.636363636363,13.9393939393939,80,80,80,80,80,103.636363636363
"06075061000","14000US06075061000","Census Tract 610, San Francisco County, California","Census Tract 610, San Francisco County, California","ca","140","00","ACSSF","0018965",,,,,"06","075",,,,"061000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273,27,42,27,170,81,0,2926,323.030303030303,15.7575757575757,41.2121212121212,18.7878787878787,93.3333333333333,48.4848484848484,80,319.393939393939
